model,feature_set,test_season,train_seasons,test_rows,higher_seed_baseline,accuracy,roc_auc,log_loss,brier_score
baseline_xgb,base,2020-21,5,15,0.6666666666666666,0.6666666666666666,0.86,0.6332783224893236,0.19854024052619934
baseline_xgb,base,2021-22,6,15,0.8,0.7333333333333333,0.5277777777777779,0.8969332777903019,0.2527045011520386
baseline_xgb,base,2022-23,7,15,0.5333333333333333,0.4666666666666667,0.5357142857142857,1.6881892946771115,0.4480186104774475
baseline_xgb,base,2023-24,8,15,0.6,0.6666666666666666,0.5740740740740741,0.8561908258996093,0.28892937302589417
context_xgb_regularized,context,2020-21,5,15,0.6666666666666666,0.6666666666666666,0.8,0.6552896672542429,0.23130390048027039
context_xgb_regularized,context,2021-22,6,15,0.8,0.8,0.5277777777777778,0.5688597546377223,0.18311308324337006
context_xgb_regularized,context,2022-23,7,15,0.5333333333333333,0.5333333333333333,0.625,0.9851888472536636,0.3549434244632721
context_xgb_regularized,context,2023-24,8,15,0.6,0.6,0.6666666666666667,0.684255511301392,0.24530872702598572
context_xgb_stump,context,2020-21,5,15,0.6666666666666666,0.6666666666666666,0.77,0.6259668380061532,0.2216833531856537
context_xgb_stump,context,2021-22,6,15,0.8,0.8,0.3888888888888889,0.6100120628146276,0.20246785879135132
context_xgb_stump,context,2022-23,7,15,0.5333333333333333,0.5333333333333333,0.5714285714285714,0.9644435680719128,0.347185343503952
context_xgb_stump,context,2023-24,8,15,0.6,0.6,0.7592592592592593,0.6467019941668833,0.22880348563194275
context_xgb_strong_reg,context,2020-21,5,15,0.6666666666666666,0.6666666666666666,0.8,0.6595677650833077,0.23246659338474274
context_xgb_strong_reg,context,2021-22,6,15,0.8,0.8,0.5277777777777779,0.5365323231977539,0.1716131716966629
context_xgb_strong_reg,context,2022-23,7,15,0.5333333333333333,0.5333333333333333,0.5714285714285714,0.9358060389945047,0.34029796719551086
context_xgb_strong_reg,context,2023-24,8,15,0.6,0.6,0.6851851851851851,0.6941023225245869,0.24957533180713654
context_xgb_logloss,context,2020-21,5,15,0.6666666666666666,0.6666666666666666,0.8200000000000001,0.6695085717243313,0.23539917171001434
context_xgb_logloss,context,2021-22,6,15,0.8,0.8,0.5555555555555556,0.5214050542656065,0.16664227843284607
context_xgb_logloss,context,2022-23,7,15,0.5333333333333333,0.5333333333333333,0.5535714285714286,0.9057119664496928,0.33124351501464844
context_xgb_logloss,context,2023-24,8,15,0.6,0.6,0.6296296296296295,0.706039013175758,0.2543916404247284
